Date,Adj Close,Close,High,Low,Open,Volume
9/28/2017,207.7095642,226.0469818,229.8997955,220.831604,220.9255676,3907
9/29/2017,209.7819214,228.3022919,231.8262024,225.5301514,228.3492737,666
10/3/2017,207.3641663,225.6710968,233.047821,225.5301514,228.3022919,3012
10/4/2017,217.2509918,236.4307709,251.5600891,225.7650757,227.8794098,7029
10/5/2017,219.6687317,239.0619507,241.7401276,233.9875183,234.9272308,1514
10/6/2017,224.158844,243.9484406,252.2178802,235.8199615,241.3172607,10328
10/9/2017,220.3595276,239.8137207,244.2303467,236.9476166,242.4918976,4663
10/10/2017,219.8414154,239.2498932,243.9014587,236.9476166,238.7330627,6665
10/11/2017,212.0269623,230.7455292,239.6257782,226.9866943,237.7463684,6730
10/12/2017,213.3653412,232.2020721,238.216217,229.8527985,231.168396,1545
10/13/2017,209.2638397,227.7384644,237.6054077,226.4698486,233.047821,7218
10/16/2017,212.199646,230.9334717,234.7862854,227.456543,230.2286835,4524
10/17/2017,211.4656982,230.1347198,231.1214142,227.7854462,229.2889862,2678
10/18/2017,208.7889252,227.2216187,234.9272308,225.5301514,230.2286835,2477
10/19/2017,210.5590515,229.1480255,235.8669434,227.4095612,232.9538422,4595
10/23/2017,214.2288208,233.1417847,242.1629944,229.1480255,229.1480255,7279
10/24/2017,225.7562714,245.6869049,248.5060272,231.168396,231.168396,7511
10/25/2017,240.7375946,261.9908447,265.7496948,245.7808685,247.8952179,40019
10/26/2017,232.275528,252.7817078,269.6964722,250.9492645,261.2390747,27852
10/27/2017,231.4120331,251.8419952,260.7692261,245.4049835,253.4394989,21293
10/30/2017,238.3198853,259.3596802,263.0245361,251.3721466,252.7817078,11775
10/31/2017,236.7224426,257.6212158,264.9979248,251.6070709,258.4669495,4803
11/1/2017,233.311676,253.9093475,262.6486511,252.8286896,257.0104065,3547
11/2/2017,229.8577728,250.1505127,262.1788025,246.4386749,262.1788025,6063
11/3/2017,231.7574158,252.2178802,262.0848083,245.7338867,245.7338867,11194
11/6/2017,230.8076172,251.1842041,257.4802551,249.0228729,249.0228729,8303
11/7/2017,227.828598,247.9421997,255.5068665,246.4386749,254.5201721,3600
11/8/2017,224.1156464,243.9014587,252.734726,241.8340912,246.344696,1228
11/9/2017,215.2649994,234.2694397,247.4723511,225.624115,247.4723511,14838
11/10/2017,211.1634827,229.8058167,235.8199615,218.9991608,229.4299316,28118
11/13/2017,212.76091,231.544281,232.0141296,223.6977081,225.5301514,2536
11/14/2017,209.5228729,228.0203705,235.3970947,222.9459381,225.8590393,3568
11/15/2017,203.4353638,221.3954315,225.5301514,216.1330566,225.5301514,5376
11/16/2017,208.4867096,226.8927155,229.2889862,221.3014526,222.7110138,3846
11/17/2017,209.1343231,227.5975037,231.168396,221.8652802,226.4698486,5178
11/20/2017,208.6162109,227.0336761,232.4370117,220.831604,227.4095612,2609
11/21/2017,204.816925,222.8989563,232.7658997,222.7110138,232.5779572,3992
11/22/2017,203.3490143,221.3014526,231.1214142,219.8918915,231.1214142,3337
11/23/2017,203.0467682,220.9725494,225.5301514,219.1401215,225.5301514,4184
11/24/2017,206.4575348,224.6844025,225.5771332,218.0124664,219.1871033,11778
11/27/2017,208.2708435,226.6577911,230.1817017,222.6170502,223.6037445,4762
11/28/2017,207.1914825,225.4831543,232.0141296,222.7580109,227.4095612,4522
11/29/2017,203.8239288,221.8182983,231.1214142,220.831604,231.0274353,5249
11/30/2017,204.0829773,222.1002045,225.4361725,218.1064453,220.831604,2206
12/1/2017,204.8600922,222.9459381,229.1950073,221.7713165,223.3688202,4835
12/4/2017,206.1121216,224.3085175,227.9264069,223.2278595,227.9264069,6635
12/5/2017,202.2264862,220.079834,221.912262,214.2536316,220.4087372,5447
12/6/2017,199.5065308,217.119751,224.5904388,216.0390778,218.952179,5728
12/7/2017,199.679245,217.3076935,219.7979279,216.1330566,218.0124664,2878
12/8/2017,199.1179657,216.6968842,220.9255676,216.1800385,220.9255676,7804
12/11/2017,204.3851776,222.4291077,224.5904388,219.9388733,224.5904388,2136
12/12/2017,201.406189,219.1871033,223.5567627,216.6968842,219.8918915,1282
12/13/2017,201.5788727,219.3750458,225.5301514,215.287323,220.7846222,3274
12/14/2017,197.7364044,215.1933441,217.6835785,214.8174591,217.6835785,1627
12/15/2017,198.3840027,215.8981323,219.8918915,214.2536316,214.3476105,3163
12/18/2017,200.1541443,217.8245392,222.1941833,214.7234955,215.8981323,1764
12/19/2017,204.6442261,222.7110138,224.543457,215.3343048,215.663208,1884
12/20/2017,208.7889252,227.2216187,228.0203705,219.8918915,222.7110138,4993
12/21/2017,207.7527466,226.0939636,231.9671478,223.2748413,228.3492737,2509
12/22/2017,205.1623077,223.2748413,226.4698486,221.8182983,226.4698486,4122
12/26/2017,204.9032593,222.9929352,225.1072693,220.9725494,221.3484344,1983
12/27/2017,204.255661,222.288147,230.040741,221.0665283,223.6977081,5226
12/28/2017,205.0759583,223.1808777,229.2889862,220.831604,229.2889862,6771
12/29/2017,207.62323,225.9530182,228.3022919,223.0868988,227.8794098,6503
